route_id,stop_id,stop_sequence
1178_3,000000210086,4
1178_3,000000210087,5
1178_3,000000210088,6
1178_3,000000210089,7
1178_3,000000210090,8
1178_3,000000210091,9
1178_3,000000230176,10
1178_3,000000230157,11
1178_3,000000230122,12
1178_3,000000230123,13
1178_3,000000230124,14
1178_3,000000230125,15
1178_3,000000230130,16
1178_3,000000230132,17
1178_3,000000230133,18
1178_3,000000230961,19
1178_3,000000230232,20
1178_3,000000230282,21
1178_3,000000230951,22
1178_3,000000230941,23
1178_3,000000230135,24
1178_3,000000210065,25
1179_3,000000240545,0
1179_3,000000240136,1
1179_3,000000240137,2
1179_3,000000230065,3
1179_3,000000230066,4
1179_3,000000230068,5
1179_3,000000230069,6
1179_3,000000230070,7
1179_3,000000230071,8
1179_3,000000230118,9
1179_3,000000230119,10
1179_3,000000230120,11
1179_3,000000230121,12
1179_3,000000230167,13
1179_3,000000230169,14
1179_3,000000230172,15
1179_3,000000230173,16
1179_3,000000230174,17
1179_3,000000230283,18
1179_3,000000230093,19
1179_3,000000230094,20
1179_3,000000230095,21
1179_3,000000230280,22
1179_3,000000230097,23
1179_3,000000230104,24
1179_3,000000200025,25
1179_3,000000200026,26
1180_3,000000230015,0
1180_3,000000230016,1
1180_3,000000230017,2
1180_3,000000230104,3
1180_3,000000200025,4
1180_3,000000200026,5
1180_3,000000230112,6
1180_3,000000240229,7
1180_3,000000240230,8
1180_3,000000240231,9
1180_3,000000240232,10
1180_3,000000240208,11
1180_3,000000240209,12
1180_3,000000240162,13
1180_3,000000240163,14
1180_3,000000240164,15
1180_3,000000240165,16
1180_3,000000240124,17
1180_3,000000240136,18
1180_3,000000240137,19
1180_3,000000230065,20
1180_3,000000230066,21
1180_3,000000230026,22
1180_3,000000230027,23
1180_3,000000230028,24
1180_3,000000230029,25
1180_3,000000230063,26
1180_3,000000230064,27
1180_3,000000240027,28
1180_3,000000240028,29
1180_3,000000240029,30
1180_3,000000240005,31
1182_3,000000240042,0
1182_3,000000240043,1
1182_3,000000240044,2
1182_3,000000240045,3
1182_3,000000240048,4
1182_3,000000240049,5
1182_3,000000240050,6
1182_3,000000240051,7
1182_3,000000240052,8
1182_3,000000240245,9
1182_3,000000240060,10
1182_3,000000240056,11
1182_3,000000240057,12
1182_3,000000240251,13
1182_3,000000240058,14
1182_3,000000240059,15
1182_3,000000260044,16
1182_3,000000260045,17
1182_3,000000260061,18
1182_3,000000260062,19
1182_3,000000260063,20
1182_3,000000240016,21
1182_3,000000240017,22
1182_3,000000240018,23
1182_3,000000240019,24
1182_3,000000240020,25
1182_3,000000240078,26
1182_3,000000240079,27
1182_3,000000240080,28
1182_3,000000240005,29
1183_3,000000610083,0
1183_3,000000610005,1
1183_3,000000210104,2
1183_3,000000210001,3
1183_3,000000210017,4
1183_3,000000210003,5
1183_3,000000210005,6
1183_3,000000217000,7
1183_3,000000210022,8
1183_3,000000210023,9
1183_3,000000210024,10
1183_3,000000210025,11
1183_3,000000210026,12
1183_3,000000210027,13
1183_3,000000210029,14
1183_3,000000210030,15
1183_3,000000210031,16
1184_3,000000220062,0
1184_3,000000220071,1
1184_3,000000220091,2
1184_3,000000220092,3
1184_3,000000220093,4
1184_3,000000220104,5
1184_3,000000220105,6
1184_3,000000220106,7
1184_3,000000250126,8
1184_3,000000250127,9
1184_3,000000250128,10
1184_3,000000250022,11
1184_3,000000250411,12
1184_3,000000250239,13
1184_3,000000250661,14
1184_3,000000260020,15
1184_3,000000260065,16
1184_3,000000260066,17
1184_3,000000260067,18
1184_3,000000260068,19
1184_3,000000260069,20
1184_3,000000260071,21
1184_3,000000260133,22
1184_3,000000260073,23
1184_3,000000260074,24
1184_3,000000260075,25
1188_3,000000300095,0
1188_3,000000300093,1
1188_3,000000300160,2
1188_3,000000300050,3
1188_3,000000300065,4
1188_3,000000250078,5
1188_3,000000250081,6
1188_3,000000250084,7
1188_3,000000250119,8
1188_3,000000250120,9
1188_3,000000250151,10
1188_3,000000250141,11
1188_3,000000250108,12
1188_3,000000250109,13
1188_3,000000250256,14
1188_3,000000250258,15
1188_3,000000300083,16
1188_3,000000300084,17
1188_3,000000300085,18
1188_3,000000300227,19
1189_3,000000310022,0
1189_3,000000310104,1
1189_3,000000310105,2
1189_3,000000310116,3
1189_3,000000310117,4
1189_3,000000310119,5
1189_3,000000310120,6
1189_3,000000310121,7
1189_3,000000310123,8
