,0
000000110050,1
000000630148,1
780004650401,3
900000753951,1
000000430090,1
780006368002,1
000000650036,2
900000807521,1
000000420034,1
000000810712,1
780002330302,1
780003506501,1
000000230108,2
000000800177G,1
000000630188,1
900000801351,2
900000650771,1
780040951401,1
900000857011,1
900000753561,4
900000801201,3
000000900051,1
900000757171,1
000000420021,2
000000920130,3
000000300044,2
900000855196,4
780003430301,1
000000840068,1
900000752701,2
900000653486,2
000000210178,1
000000310105,4
000000260056,3
780006364702,1
780004680101,3
800000375389,1
900000857791,3
780007540101,8
000000270090,3
000000210007,1
000000600021,2
900000753026,3
900000857606,3
780008010201,3
780050041202,1
780004090101,4
000008001872,1
900000655601,1
800000375450,2
900000750781,2
000000610090G,1
000000610009,1
900000805521,2
000000550080,1
000000610076,3
900000754591,1
800000375069,1
000000630173,2
900000753691,4
900000806321,2
000000371981,1
000000550070,1
000000520019,1
900000853711,3
000000300160,5
000008006001,1
000000310165,2
900000805481,2
000000499509,1
900000855096,2
900000802356,2
000000830122,1
000000980023,2
000008003778,1
900000855551,2
720000050115,1
780004781402,1
000008003957,1
900000653646,1
900000807531,1
000000700167,3
000000300671,1
000000100087G,3
780003670201,1
000000260130,4
000000510006,1
000000250098,7
780084470401,3
780008430401,2
000011718502,1
000000920119,1
000000988122,1
000000610176,1
000000320135,2
000000200101,2
900000653736,1
000000900089,4
780006366402,3
000000230192,3
000000700086,2
000000300721,1
900000652121,1
780008310101,2
000000980090,1
900000850641,1
000000220126,5
780009690201,3
780006480501,2
000000110116,3
800000375369,3
900000751871,2
000000260031,1
000000000873,1
000008007051,1
000000640008G,1
000000720089,1
780006380901,3
000011708801,1
000008005885,1
000000420109,1
780003503902,3
900000852016,1
780083470102,1
000000720004,4
800000375448,2
000000100132,1
000000260067,2
780008171901,2
780007520302,4
000008004249,1
000000360331,1
000000910120,2
900000652456,1
780015810101,1
000000710153,1
780005008801,3
780005690502,3
000000700029,2
000000630141,1
780044003701,2
780051960601,1
900000757591,2
000000000920,3
000000293002,1
780005600701,3
780008911602,4
000000840148,1
900000853616,1
000000250010,1
000000800293,4
000000830064G,2
000000990112,1
900000653556,2
000000360107,1
900000600271,1
900000852081,2
900000806051,2
780005002402,7
780004230301,1
000000230059,3
780008911301,4
000000360359G,2
090000229000,2
900000757526,2
800000375257,2
780049954601,1
900000752421,4
900000753741,1
000000610133,1
780008910601,4
000008000334,2
000008005780,1
900000857546,4
000000600058,1
900000857326,5
000347530001,2
780004310302,1
000000610013,1
780007050801,5
000000710203,1
900000753786,2
000000610151,1
000000850038,1
780008970501,1
000000700135,2
090000919000,1
000000800226,1
720000075583,1
780005080702,1
900000804031,1
900000651496,4
000000230010,3
780004610101,2
000000280108,2
780043962701,3
780004801001,3
000000710002,2
000011549001,1
000000971412,1
780008960901,1
780007160101,1
000000240000,1
780009550102,3
000000820131,3
900000858221,1
780005021301,1
800000375425,1
000000260038,2
720000075577,2
780003330102,2
780003220302,2
000000977432,1
900000805466,1
000000280851,1
780084470502,3
900000350126,1
000000640033,2
780041954001,1
000000340088,2
000000610021G,1
900000805911,2
000000300141,4
780050046401,1
000008000056,3
000000830136,1
800000999991,1
780004100604,1
780045951802,4
780002850502,1
780005721201,3
780006365102,1
000000720127,2
900000757576,2
800000375430,1
900000802981,2
000000530009,1
780015002001,4
000000360079,1
780008690201,2
900000753461,2
000008003431,2
780002980202,2
780043967501,1
000000700012,4
780045953402,3
780004410103,1
000000250069,3
000000210048,1
000000300068,2
000000620142,2
000000430050,1
000000620462,1
000000710106,2
780008640201,1
780015005701,1
000000920018,2
780009680402,4
000000700277,3
720000044103,1
780004080302,3
780004630901,1
000000810142,1
800000375031,1
900000600761,1
780009060401,1
780005270501,2
000000300661,2
900000805281,2
780015001102,1
000000860031G,2
000000820078,1
780005008002,1
000000530038,1
780004690501,2
900000858346,2
000000980089,1
780005031701,1
900000857461,4
000008003259,1
780005021901,2
000000830079,2
780015002102,2
720000075570,2
000000610228G,1
900000851501,2
780006480402,1
900000751271,3
000000610074,3
000000809302,1
000000270077,3
900000858171,1
000000900146,3
900000754876,1
000000100105,1
780004000602,2
780002690301,1
900000806001,3
000008005264,1
900000800121,4
000000800290G,2
900000803546,2
780004591101,4
000000420017,4
000000260691,1
900000806501,1
780008912601,4
780004506102,3
900000700076,1
900000800141,4
780003320202,1
900000850276,3
000000900151,4
000008007811,1
000000410068,1
000000610092,1
000000429101,2
000000200058,1
780006310902,1
780015007701,2
000000640062,1
900000755331,2
000011707001,1
000000340016,6
000000350253,3
900000804001,2
780055055201,2
000000977883,1
000000710100,3
780081463701,1
000000230148,1
780003850102,1
780009370401,2
000000640034,2
000000650048G,3
000000500037,2
000000971741,1
780003840302,1
000000110195,1
800000375299,3
000000850066,4
800000375416,1
000000900531,1
090000119025,1
900000757286,2
000011550001,2
000000520039,1
900000855241,3
780041012101,1
000000260099,1
900000756851,1
000000630186,1
000000810180,1
000000978302,5
000347529701,2
800000375934,5
780006362301,1
780008340201,2
000000800099,1
780004502601,3
900000901346,2
000000100197,1
000000360043,3
780005032401,2
780008150301,2
000000998002,5
780006350101,8
000000305571,1
900000653741,1
000000810179,1
000000220152,3
000000710263,2
000000710246,1
000000280187,2
000000830006G,1
800000375279,2
000000610119G,1
000000350122,1
000000849105,2
900000753066,5
900000803431,6
000000630140,1
900000801621,3
900000806451,2
900000750466,2
780007540701,1
000000820097G,1
780006368301,1
780005900102,1
000000977921,1
900000803676,1
090000119000,1
900000858106,1
780004730101,1
000000538112,1
780002910101,2
